LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

variable density equal 1.1
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units lj
atom_style atomic
dimension 3

lattice fcc 0.8442
Lattice spacing in x,y,z = 1.6795962 1.6795962 1.6795962
region box block 0 8 0 8 0 8
create_box 1 box
Created orthogonal box = (0 0 0) to (13.43677 13.43677 13.43677)
  2 by 1 by 3 MPI processor grid
create_atoms 1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.43677 13.43677 13.43677)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style lj/cut 1.0
pair_coeff 1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.09 | 3.093 | 3.096 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      2.5313634    
       500   3.0877213      1.0866155      0              5.7159359      14.132274    
      1000   3.0364609      1.1141035      0              5.666571       14.642039    
      1500   3.0120633      1.1033341      0              5.619223       14.455792    
      2000   2.9733944      0.98960597     0              5.4475198      13.250112    
      2500   2.9976972      1.08217        0              5.5765202      13.965933    
      3000   2.9699545      1.0535629      0              5.5063194      13.972903    
      3500   3.0017619      1.0347979      0              5.5352422      13.759221    
      4000   2.9615957      1.154672       0              5.5948963      14.636095    
      4500   2.8972741      1.2067886      0              5.5505778      15.022566    
      5000   2.9868947      1.1084621      0              5.5866165      14.38612     
      5500   3.0052963      1.0465111      0              5.5522544      13.935802    
      6000   3.0079035      1.1304407      0              5.6400929      14.47867     
      6500   3.0068649      1.1551165      0              5.6632116      14.692177    
      7000   3.0723805      1.0835772      0              5.6898977      13.995058    
      7500   3.1129855      1.1545694      0              5.8217676      14.747156    
      8000   3.0796265      1.1570529      0              5.774237       14.66212     
      8500   3.0966195      1.0931603      0              5.7358215      14.302265    
      9000   3.0921557      1.070741       0              5.7067098      14.272437    
      9500   2.9598794      1.0752572      0              5.5129084      13.914391    
     10000   2.8586084      1.1693727      0              5.4551916      14.666262    
     10500   2.9311155      1.0658324      0              5.4603588      14.130289    
     11000   2.9211059      1.0646798      0              5.4441991      14.048718    
     11500   2.975533       1.0780655      0              5.5391856      14.100523    
     12000   2.9813816      1.1210993      0              5.5909882      14.389542    
     12500   2.9904967      1.1483081      0              5.6318629      14.830086    
     13000   3.0631839      1.0802814      0              5.6728138      14.232056    
     13500   3.0092775      1.0832912      0              5.5950034      14.212778    
     14000   2.936499       1.1721534      0              5.5747511      14.620364    
     14500   2.9584512      1.0861082      0              5.5216182      14.105232    
     15000   2.9609517      1.0656374      0              5.5048962      13.862782    
     15500   2.9737539      1.1457034      0              5.6041562      14.613649    
     16000   2.9371259      1.229197       0              5.6327346      15.209838    
     16500   3.0437318      1.0795354      0              5.6429038      14.144636    
     17000   3.0202671      1.1620076      0              5.690196       14.776785    
     17500   3.0815207      1.2376364      0              5.8576604      15.396544    
     18000   3.0561325      1.0803418      0              5.6623022      14.201268    
     18500   3.0486011      1.2382207      0              5.8088894      15.314325    
     19000   3.091668       1.1002356      0              5.7354732      14.265875    
     19500   3.0532115      1.1723877      0              5.7499686      14.864282    
     20000   3.0719723      1.1259715      0              5.73168        14.612796    
     20500   3.0714628      1.1454558      0              5.7504004      14.856609    
     21000   3.0618067      1.1761077      0              5.7665752      15.019872    
     21500   2.9697944      1.1788362      0              5.6313526      14.870131    
     22000   3.0023983      1.0986983      0              5.6000968      14.206683    
     22500   2.977032       1.0346509      0              5.4980185      13.831959    
     23000   2.9811346      1.1229446      0              5.592463       14.406669    
     23500   3.0214395      1.1160249      0              5.6459712      14.499344    
     24000   3.0066117      1.0832794      0              5.5909948      14.227318    
     24500   2.9753698      1.0510198      0              5.5118953      13.818078    
     25000   3.0362339      1.0718035      0              5.6239306      14.141484    
     25500   3.0857671      1.0694731      0              5.6958637      14.16922     
     26000   3.0687441      1.1080234      0              5.708892       14.528675    
     26500   3.0389123      1.1535235      0              5.7096661      14.846273    
     27000   3.0422644      1.1037046      0              5.664873       14.237072    
     27500   2.9111677      1.1333519      0              5.4979712      14.544542    
     28000   3.0116648      1.0781909      0              5.5934823      14.287345    
     28500   2.9120453      1.0936464      0              5.4595815      14.175106    
     29000   2.9872837      1.1048971      0              5.5836347      14.404992    
     29500   2.9455965      1.106245       0              5.5224823      14.358515    
     30000   2.9640934      1.1254221      0              5.5693913      14.561362    
     30500   2.97084        1.1315316      0              5.5856157      14.694134    
     31000   3.0729218      1.0875817      0              5.6947138      14.226332    
     31500   3.014681       1.1455562      0              5.6653697      14.813066    
     32000   3.0435065      1.1190504      0              5.682081       14.466857    
     32500   3.0425858      1.1592568      0              5.720907       14.679331    
     33000   3.1049343      1.1088398      0              5.7639671      14.40865     
     33500   2.9601278      1.1791091      0              5.6171328      14.700727    
     34000   2.8842533      1.095491       0              5.4197584      14.166027    
     34500   2.9484215      1.1132149      0              5.5336877      14.329695    
     35000   2.9901111      1.1392199      0              5.6221965      14.640968    
     35500   3.092569       1.1092236      0              5.745812       14.431721    
     36000   3.0224062      1.087277       0              5.6186725      14.23979     
     36500   2.9632358      1.0909819      0              5.5336653      14.270548    
     37000   2.9831125      1.02533        0              5.4978138      13.821851    
     37500   2.9858949      1.0142397      0              5.4908951      13.739608    
     38000   2.9962531      1.0479001      0              5.5400852      13.873798    
     38500   2.9533858      1.0824551      0              5.5103707      14.117779    
     39000   2.944078       1.1380521      0              5.5520128      14.634668    
     39500   2.9570665      1.139012       0              5.572446       14.537816    
     40000   2.9902536      1.0601324      0              5.5433227      13.922876    
     40500   2.9646121      1.1231362      0              5.5678829      14.462341    
     41000   2.9322255      1.1199787      0              5.5161694      14.346039    
     41500   2.958931       1.1527006      0              5.58893        14.612208    
     42000   2.9754066      1.1380549      0              5.5989855      14.537028    
     42500   2.9372467      1.0897297      0              5.4934485      14.173724    
     43000   2.9892073      1.148501       0              5.6301226      14.556       
     43500   3.0824485      1.1783547      0              5.7997698      14.8251      
     44000   2.9795311      1.0807182      0              5.5478325      13.994165    
     44500   3.0154612      1.0843269      0              5.6053101      14.363126    
     45000   2.9598867      1.05642        0              5.4940822      13.906587    
     45500   2.9686466      1.1244214      0              5.5752171      14.538791    
     46000   2.9751372      1.0931298      0              5.5536566      14.245636    
     46500   2.993386       1.0455858      0              5.5334724      13.872225    
     47000   2.958051       1.1211198      0              5.5560297      14.47402     
     47500   2.9405996      1.1751308      0              5.5838765      14.691299    
     48000   3.0446787      1.1008559      0              5.665644       14.527689    
     48500   3.0335746      1.1421759      0              5.6903159      14.579828    
     49000   3.0381893      1.161711       0              5.7167697      14.668553    
     49500   2.9945555      1.0705618      0              5.5602017      14.048397    
     50000   2.9393012      1.1239914      0              5.5307904      14.456781    
Loop time of 5.5603 on 6 procs for 50000 steps with 2048 atoms

Performance: 7769367.817 tau/day, 8992.324 timesteps/s, 18.416 Matom-step/s
99.4% CPU use with 6 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 0.61037    | 0.61996    | 0.63013    |   0.8 | 11.15
Neigh   | 3.1076     | 3.1291     | 3.1567     |   0.9 | 56.28
Comm    | 1.2483     | 1.2842     | 1.3148     |   1.8 | 23.10
Output  | 0.0020199  | 0.0030841  | 0.0083627  |   4.3 |  0.06
Modify  | 0.32644    | 0.33195    | 0.33836    |   0.7 |  5.97
Other   |            | 0.192      |            |       |  3.45

Nlocal:        341.333 ave         347 max         331 min
Histogram: 1 0 0 0 1 0 0 1 2 1
Nghost:          556.5 ave         564 max         547 min
Histogram: 1 0 1 1 0 0 0 0 2 1
Neighs:         1333.5 ave        1395 max        1292 min
Histogram: 2 0 0 2 0 0 1 0 0 1

Total # of neighbors = 8001
Ave neighs/atom = 3.9067383
Neighbor list builds = 20246
Dangerous builds = 0

unfix 1
dump 1 all atom ${run_steps} 3dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump 1 all atom 100000 3dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump 1 all atom 100000 3dWCA_T0.1_d${density}_N${run_steps}.lammpstrj
dump 1 all atom 100000 3dWCA_T0.1_d1.1_N${run_steps}.lammpstrj
dump 1 all atom 100000 3dWCA_T0.1_d1.1_N100000.lammpstrj
dump 2 all dcd 50000 3dWCA_T${final_temperature}_d${density}_N100000.dcd
dump 2 all dcd 50000 3dWCA_T0.1_d${density}_N100000.dcd
dump 2 all dcd 50000 3dWCA_T0.1_d1.1_N100000.dcd
log log.3d
